ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,520,530.0,50.0,1.6535358068916033,0.87454496644483071,1.0,0.47186932849364793,0.50029612860040418,42.112120903758765,40.311288741492746,7.6157731058639087,3.1519380378726676,3.0,22.144184689715551,20.422038531937801,-63.373020779499321,114.28600000000006,0.77961019490254868,532.75576923076926,53.109615384615381,1
1,2,633,548.0,57.0,1.3900764853735512,0.88301423948890989,1.0,0.49453124999999998,0.51925751683970101,42.858193909765284,45.276925690687087,9.8994949366116654,3.8969342031423899,3.6055512754639891,20.047136235205183,20.115330331948137,-50.516447814257042,123.77000000000007,0.87612456747404877,548.2274881516588,57.786729857819907,2
1,3,403,592.0,56.0,1.0156797671459223,0.48979083836312304,1.0,0.73007246376811596,0.83225975221849358,24.375211867802584,24.698178070456937,10.63014581273465,3.9577213072807482,3.6055512754639891,20.571825392998065,21.251284002663482,71.728692654696417,78.006000000000029,0.93179190751445085,591.61538461538464,55.66253101736973,3
1,4,421,514.0,56.0,1.1914709349866566,0.6748648011847812,1.0,0.60142857142857142,0.59647608129386931,28.792473757462805,30.528675044947494,8.4852813742385695,3.3888102417744985,3.0,23.334523779156068,21.247158204574781,50.6839652636111,94.17800000000004,0.83864541832669326,513.69833729216157,56.919239904988125,4
1,5,329,654.0,63.0,1.0406512007610718,0.40935926915201243,1.0,0.74772727272727268,0.80434087445097491,21.857216001389144,22.203603311174518,8.9442719099991592,3.4530676924263775,3.0,18.412686578200017,19.941939695562002,-28.325657057708174,71.694000000000017,0.92027972027972027,653.68996960486322,62.373860182370819,5
1,6,433,620.0,62.0,1.0864905021278355,0.71358783006961557,1.0,0.76366843033509701,0.82220979423632434,28.385228350088767,29.154759474226502,9.8488578017961039,3.8878611548278017,3.6055512754639891,19.900784836618932,19.885719572086742,-26.582603764003213,81.350000000000037,0.94541484716157209,618.42956120092379,61.752886836027713,6
1,7,518,499.0,65.0,1.1588954935012878,0.72823557069914691,1.0,0.63793103448275867,0.70519592947303444,32.279568056790851,32.249030993194197,9.2195444572928871,3.7726447149964151,3.6055512754639891,21.600000000000001,22.122056161446285,50.459815384024722,96.07600000000005,0.89619377162629754,496.78185328185327,66.45366795366796,7
1,8,815,571.0,59.0,1.2845526082501932,0.69170257114604861,1.0,0.5372445616348055,0.54364757207681313,41.861221601956842,41.761226035642203,10.295630140987001,4.0552190884353694,3.6055512754639891,34.093918726330756,30.231441372882117,-63.439861420782776,137.25400000000002,0.77990430622009566,569.37300613496927,60.612269938650307,8
1,9,286,670.0,65.0,1.0693424747165499,0.68796354187119291,1.0,0.76470588235294112,0.76544825279894069,22.636624835491709,21.95449840010015,8.0,3.2653169246011537,3.0,15.124706832092871,16.428422906075415,-72.414199273813708,68.522000000000034,0.92857142857142871,669.88811188811189,65.6958041958042,9
1,10,566,690.0,71.0,1.2821660786310918,0.76399782374954606,1.0,0.52165898617511519,0.53261234558670267,36.142031217740787,40.224370722237531,9.2195444572928871,3.5455553845917622,3.0,24.041846075006397,23.319518724176447,52.94976152351601,115.56000000000004,0.78447678447678459,687.96466431095405,73.114840989399298,10
1,11,284,706.0,76.0,1.1789146572904474,0.5705751786555231,1.0,0.587991718426501,0.57425009806350091,22.611901778988521,23.021728866442675,7.0710678118654755,2.7845636686910114,2.5322475511229898,17.624027202703385,18.569919749661654,56.008592904255138,78.834000000000032,0.8490284005979073,706.73943661971828,75.528169014084511,11
1,12,483,473.0,75.0,1.0964455331966982,0.74827462601458195,1.0,0.66620689655172416,0.79606665938610888,30.63474466896654,29.154759474226502,9.8488578017961039,4.0713691412349231,3.6055512754639891,19.522845833381009,20.322755372897518,59.457251237206393,87.31800000000004,0.93968871595330739,472.87370600414079,74.171842650103514,12
1,13,317,516.0,78.0,1.0201900563012722,0.53458412652135623,1.0,0.75476190476190474,0.89368491912654424,21.965762142132917,21.95449840010015,9.0,3.5713303117619293,3.0,17.677669529663689,18.563600900633254,54.320273774677112,66.764000000000024,0.94205052005943535,515.9558359621451,78.977917981072551,13
1,14,255,658.0,78.0,1.2309550607457376,0.84887425579932396,1.0,0.68000000000000005,0.76398127848144648,25.04615179932992,24.515301344262525,6.7082039324993694,2.8665478735032863,2.8284271247461903,13.281566172707194,13.239266436350491,14.797897883649755,64.764000000000024,0.91234347048300557,658.93333333333328,78.768627450980389,14
