,standard deviation,noise value,final diff,solving time,objective value
0,0.0,0.0,0.0,101.7789029999999,0.0941700855682995
1,0.0,0.0,0.0,102.02042899999992,0.0941700855682995
2,0.0,0.0,0.0,102.23520499999995,0.0941700855682995
3,0.0,0.0,0.0,102.02608399999986,0.0941700855682995
4,0.0,0.0,0.0,105.63831600000003,0.0941700855682995
5,0.0,0.0,0.0,104.1367600000001,0.0941700855682995
6,0.0,0.0,0.0,102.74620499999992,0.0941700855682995
7,0.0,0.0,0.0,104.47481399999992,0.0941700855682995
8,0.0,0.0,0.0,102.9485910000003,0.0941700855682995
9,0.0,0.0,0.0,105.5510720000002,0.0941700855682995
10,0.0,0.0,0.0,107.68673799999988,0.0941700855682995
11,0.0,0.0,0.0,106.82412799999975,0.0941700855682995
12,0.0,0.0,0.0,106.6939739999998,0.0941700855682995
13,0.0,0.0,0.0,107.446778,0.0941700855682995
14,0.0,0.0,0.0,107.77294699999993,0.0941700855682995
15,0.0,0.0,0.0,108.48466099999996,0.0941700855682995
16,0.0,0.0,0.0,108.68369399999983,0.0941700855682995
17,0.0,0.0,0.0,106.30696100000023,0.0941700855682995
18,0.0,0.0,0.0,102.74654499999997,0.0941700855682995
19,0.0,0.0,0.0,102.36851699999988,0.0941700855682995
20,0.0,0.0,0.0,102.2471230000001,0.0941700855682995
21,0.0,0.0,0.0,105.36341600000014,0.0941700855682995
22,0.0,0.0,0.0,106.26827700000013,0.0941700855682995
23,0.0,0.0,0.0,106.17361500000015,0.0941700855682995
24,0.0,0.0,0.0,104.78797599999962,0.0941700855682995
25,0.0,0.0,0.0,107.14497400000027,0.0941700855682995
26,0.0,0.0,0.0,107.47876499999984,0.0941700855682995
27,0.0,0.0,0.0,107.13266499999963,0.0941700855682995
28,0.0,0.0,0.0,104.65595499999927,0.0941700855682995
29,0.0,0.0,0.0,103.38393300000007,0.0941700855682995
30,0.005,0.0035838684121892814,0.0035838684121892814,209.60102000000006,0.003271582201851865
31,0.005,0.002728425504546687,0.002728425504546687,96.97623000000021,0.09812384135411419
32,0.005,0.0037605458916870026,0.0037605458916870026,130.8211739999997,0.08825900317771916
33,0.005,0.0039558560330322096,0.0039558560330322096,117.57891500000005,0.09975803423553427
34,0.005,0.0035440598721752144,0.0035440598721752144,105.1220459999995,0.08174744128693111
35,0.005,0.0035130891159526646,0.0035130891159526646,80.44139900000027,0.05808118511581759
36,0.005,0.0030224725498884004,0.0030224725498884004,141.86189900000045,0.08838485989040955
37,0.005,0.0028292674549487643,0.0028292674549487643,62.96636800000033,0.1073763545740083
38,0.005,0.0038827201534216826,0.0038827201534216826,27.635747999999694,0.10155526081555259
39,0.005,0.002913530421568786,0.002913530421568786,385.24090500000057,0.00011534163014840717
40,0.005,0.0034341407941219197,0.0034341407941219197,83.83514000000014,0.0871317747574247
41,0.005,0.00386341858347909,0.00386341858347909,569.5165120000001,0.00010703235693078816
42,0.005,0.0035806155295746295,0.0035806155295746295,58.3732030000001,0.08870779306625054
43,0.005,0.003169909604886143,0.003169909604886143,49.211347999999816,0.09213426057239688
44,0.005,0.0035000988729692803,0.0035000988729692803,53.17413099999976,0.1066287467906265
45,0.005,0.0037406208105748573,0.0037406208105748573,27.820781000000352,0.1041598013838639
46,0.005,0.003535582952743947,0.003535582952743947,137.88415600000008,0.0990893769989562
47,0.005,0.003328944644149817,0.003328944644149817,38.746242999999595,0.09188711327437561
48,0.005,0.0030088311963428326,0.0030088311963428326,71.40863400000035,0.08668829325378277
49,0.005,0.0026881693180723382,0.0026881693180723382,106.90507900000011,0.09022004930028521
50,0.005,0.00436777704067047,0.00436777704067047,76.30835900000056,0.1025719388851162
51,0.005,0.002712962220825687,0.002712962220825687,81.03897700000016,0.08812662257786213
52,0.005,0.004782731765712336,0.004782731765712336,51.20384699999977,0.11276107917950823
53,0.005,0.004171238305613877,0.004171238305613877,73.13482700000077,0.08384574281274425
54,0.005,0.0029904181609942022,0.0029904181609942022,44.32061299999987,0.09160305077883987
55,0.005,0.003079165998276444,0.003079165998276444,27.750127999999677,0.10076206302186119
56,0.005,0.0031462875096412452,0.0031462875096412452,126.74348100000043,0.06710003010120019
57,0.005,0.003570991327416447,0.003570991327416447,133.71822900000006,1.4411713168590109e-05
58,0.005,0.003874963154460785,0.003874963154460785,49.318976999999904,0.10949395142133513
59,0.005,0.004024618732243822,0.004024618732243822,95.22448199999963,0.09683640449874448
60,0.01,0.006672593825581137,0.006672593825581137,75.71317699999963,1.3510867880813913e-05
61,0.01,0.007393079878146266,0.007393079878146266,554.0183539999989,0.0001798303278609
62,0.01,0.007326724676071421,0.007326724676071421,41.53353299999981,0.07488456445284093
63,0.01,0.00751177253816903,0.00751177253816903,86.67216000000008,0.09378062527540314
64,0.01,0.00562728136663649,0.00562728136663649,257.59147200000007,0.052656661821483514
65,0.01,0.0073456837229928865,0.0073456837229928865,121.53438600000118,0.07839412532038939
66,0.01,0.006051777376553571,0.006051777376553571,35.550036000000546,0.09525531044883757
67,0.01,0.006165927627715187,0.006165927627715187,43.515290999999706,0.10287478724852676
68,0.01,0.0072720136136151005,0.0072720136136151005,1066.1882530000003,9.482869822991163e-05
69,0.01,0.00639294065736015,0.00639294065736015,26.737307999999757,0.10759481248011893
70,0.01,0.007402965666793552,0.007402965666793552,83.61996399999953,0.12155698562387335
71,0.01,0.007760758772361362,0.007760758772361362,85.48415899999964,0.10397216507283774
72,0.01,0.005501832028119937,0.005501832028119937,54.02405400000134,0.09555985737065674
